Independent School District Name,ISD #,Subject to Subchapter C,Category #,Subject to Subchapter C Because of Demographics Characteristics [Sec.313.051(a-1)(2)],Minimum Limitation Amount [Sec.313.053],Minimum Qualified Investment Amount [Sec.313.054]
Rotan,076-904,YES,III,YES,$20 Million,$10 Million
Round Rock,246-909,NO,I,NO,$100 Million,$100 Million
Round Top-Carmine,075-908,YES,III,YES,$20 Million,$10 Million
Royal,237-905,YES,I,NO,$30 Million,$30 Million
Royse City,199-902,YES,III,NO,$20 Million,$10 Million
Rule,104-903,YES,III,YES,$20 Million,$10 Million
Runge,128-903,YES,III,YES,$20 Million,$10 Million
Rusk,037-907,YES,III,NO,$20 Million,$10 Million
Sabinal,232-902,YES,III,YES,$20 Million,$10 Million
Sabine,092-906,YES,III,NO,$20 Million,$10 Million
Sabine Pass,123-913,YES,I,NO,$30 Million,$30 Million
Sadler-Southmayd,091-914,NO,IV,NO,$40 Million,$40 Million
Saint Jo,169-911,YES,III,YES,$20 Million,$10 Million
Salado,014-908,YES,III,NO,$20 Million,$10 Million
Saltillo,112-909,YES,IV,YES,$15 Million,$5 Million
Sam Rayburn,074-917,YES,III,YES,$20 Million,$10 Million
San Angelo,226-903,NO,II,NO,$80 Million,$80 Million
San Antonio,015-907,NO,I,NO,$100 Million,$100 Million
San Augustine,203-901,YES,III,YES,$20 Million,$10 Million
San Benito,031-912,YES,III,NO,$20 Million,$10 Million
San Diego,066-902,YES,III,YES,$20 Million,$10 Million
San Elizario,071-904,YES,III,NO,$20 Million,$10 Million
San Felipe-Del Rio,233-901,YES,I,YES,$30 Million,$30 Million
San Isidro,214-902,YES,III,NO,$20 Million,$10 Million
San Marcos,105-902,YES,I,YES,$30 Million,$30 Million
